Sample Type	Details	Platform	Sequencing	Total Reads	Mean Read Length	Total Data	Median Quality	NCBI Project	NCBI Experiment	SRA Accession	Study	Year
Mock community	ATCC MSA-1003	Sequel II System	1 SMRT Cell (8M)	"2,419,037"	8.4 kb	20.5 Gb	Q36	[PRJNA546278](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA546278/)	[SRX6095783](https://www.ncbi.nlm.nih.gov/sra/SRX6095783)	[SRR9328980](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR9328980)	PacBio Project	2019
Mock community	ZymoBIOMICS D6331 (standard library)	Sequel II System	1 SMRT Cell (8M)	"1,978,852"	9.1 kb	17.9 Gb	Q39	[PRJNA680590](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA680590/)	[SRX9569057](https://www.ncbi.nlm.nih.gov/sra/SRX9569057)	[SRR13128014](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR13128014)	PacBio Project	2020
Mock community	ZymoBIOMICS D6331 (low library)	Sequel II System	1 SMRT Cell (8M)	"2,770,833"	9.3 kb	25.8 Gb	Q39	[PRJNA680590](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA680590/)	[SRX9569058](https://www.ncbi.nlm.nih.gov/sra/SRX9569058)	[SRR13128013](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR13128013)	PacBio Project	2020
Mock community	ZymoBIOMICS D6331 (ultra-low library)	Sequel II System	1 SMRT Cell (8M)	"2,480,208"	8.6 kb	21.3 Gb	Q38	[PRJNA680590](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA680590/)	[SRX9569059](https://www.ncbi.nlm.nih.gov/sra/SRX9569059)	[SRR13128012](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR13128012)	PacBio Project	2020
Mock community	71 species Mock Community	Sequel II System	1 SMRT Cell (8M)	"524,805"	10.2 kb	5.4 Gb	Q37	[PRJEB52977](https://www.ncbi.nlm.nih.gov/bioproject/PRJEB52977)	[ERX9314128](https://www.ncbi.nlm.nih.gov/sra/ERX9314128)	[ERR9765783](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=ERR9765783)	[Meslier et al. 2022](https://doi.org/10.1038/s41597-022-01762-z)	2022
Reference Standard	ZymoBIOMICS TruMatrix pooled fecal reference	Sequel IIe System	6 SMRT Cells (8M)	TBD	TBD	TBD	TBD	TBD	TBD	TBD	PacBio Project	2022
Reference Standard	The BioCollective: pooled vegan gut microbiome	Sequel IIe System	1 SMRT Cell (8M)	"1,767,289"	8.6 kb	15.2 Gb	Q39	[PRJNA750084](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA750084/)	[SRX11580195](https://www.ncbi.nlm.nih.gov/sra/SRX11580195)	[SRR15275210](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15275210)	PacBio Project	2021
Reference Standard	The BioCollective: pooled vegan gut microbiome	Sequel IIe System	1 SMRT Cell (8M)	"1,904,159"	9.8 kb	18.8 Gb	Q39	[PRJNA750084](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA750084/)	[SRX11580194](https://www.ncbi.nlm.nih.gov/sra/SRX11580194)	[SRR15275211](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15275211)	PacBio Project	2021
Reference Standard	The BioCollective: pooled omnivore gut microbiome	Sequel IIe System	1 SMRT Cell (8M)	"1,687,238"	9.2 kb	15.5 Gb	Q40	[PRJNA750084](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA750084/)	[SRX11580193](https://www.ncbi.nlm.nih.gov/sra/SRX11580193)	[SRR15275212](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15275212)	PacBio Project	2021
Reference Standard	The BioCollective: pooled omnivore gut microbiome	Sequel IIe System	1 SMRT Cell (8M)	"1,792,146"	10.3 kb	18.5 Gb	Q40	[PRJNA750084](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA750084/)	[SRX11580192](https://www.ncbi.nlm.nih.gov/sra/SRX11580192)	[SRR15275213](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15275213)	PacBio Project	2021
Empirical	Sheep gut microbiome	Sequel II System	8 SMRT Cells (8M)	"18,456,925"	11.2 kb	206.5 Gb	Q35	[PRJNA595610](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA595610/)	[SRX10647529](https://www.ncbi.nlm.nih.gov/sra/SRX10647529)	[SRR14289618](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR14289618)	Bickhart et al. 2022	2021
Empirical	Chicken gut microbiome	Sequel II System	1 SMRT Cell (8M)	"1,984,390"	16.9 kb	33.6 Gb	Q30	[PRJNA748109](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA748109)	[SRX11520539](https://www.ncbi.nlm.nih.gov/sra/SRX11520539)	[SRR15214153](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15214153)	NA	2021
Empirical	Human gut microbiome	Sequel II System	4plex on 1 SMRT Cell (8M)	"1,065,834"	6.2 kb	6.7 Gb	Q39	[PRJNA754443](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA754443/)	[SRX11788790](https://www.ncbi.nlm.nih.gov/sra/SRX11788790/)	[SRR15489020](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15489020)	Gehrig et al. 2022	2021
Empirical	Human gut microbiome	Sequel II System	4plex on 1 SMRT Cell (8M)	"735,702"	6.5 kb	4.8 Gb	Q39	[PRJNA754443](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA754443/)	[SRX11788791](https://www.ncbi.nlm.nih.gov/sra/SRX11788791)	[SRR15489019](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15489019)	Gehrig et al. 2022	2021
Empirical	Human gut microbiome	Sequel II System	4plex on 1 SMRT Cell (8M)	"1,601,967"	6.6 kb	10.6 Gb	Q39	[PRJNA754443](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA754443/)	[SRX11788792](https://www.ncbi.nlm.nih.gov/sra/SRX11788792)	[SRR15489018](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15489018)	Gehrig et al. 2022	2021
Empirical	Human gut microbiome	Sequel II System	4plex on 1 SMRT Cell (8M)	"1,095,633"	6.7 kb	7.3 Gb	Q39	[PRJNA754443](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA754443/)	[SRX11788793](https://www.ncbi.nlm.nih.gov/sra/SRX11788793)	[SRR15489017](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15489017)	Gehrig et al. 2022	2021
Empirical	Human gut microbiome	Sequel II System	4plex on 1 SMRT Cell (8M)	"717,518"	5.0 kb	3.6 Gb	Q36	[PRJNA754443](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA754443/)	[SRX11788794](https://www.ncbi.nlm.nih.gov/sra/SRX11788794)	[SRR15489016](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15489016)	Gehrig et al. 2022	2021
Empirical	Human gut microbiome	Sequel II System	4plex on 1 SMRT Cell (8M)	"939,988"	6.2 kb	5.8 Gb	Q36	[PRJNA754443](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA754443/)	[SRX11788795](https://www.ncbi.nlm.nih.gov/sra/SRX11788795)	[SRR15489015](https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR15489015)	Gehrig et al. 2022	2021
